"","Gene","Locus_Tag","logFC","adj.P.Val"
"5662","PA5470","PA5470",3.39752544754496,0.00011213643801674
"5663","armZ","PA5471",2.87407978473573,0.00011213643801674
"3945","trmD","PA3743",2.48223134129162,0.00011213643801674
"2686","PA2482","PA2482",2.19311878344801,0.00011213643801674
"2947","thrS","PA2744",1.70272638474004,0.00011213643801674
"3174","PA2971","PA2971",2.11589468660825,0.000193059007202735
"3933","PA3731","PA3731",2.44160451223707,0.000197901581518087
"3173","rpmF","PA2970",1.84738948538849,0.000197901581518087
"4760","obg","PA4566",3.12066391152362,0.000220973233389225
"1393","phoQ","PA1180",3.0727573249692,0.00024708041820396
"1394","PA1181","PA1181",2.04449244072979,0.00024708041820396
"1558","PA1345","PA1345",1.65127961153799,0.00024708041820396
"4937","rbfA","PA4743",1.41265213889902,0.00024708041820396
"823","prtN","PA0610",3.06346849395911,0.000283409189163758
"3922","PA3720","PA3720",3.45852454579336,0.000306602410535873
"3946","rimM","PA3744",2.38186870404245,0.000307016418328146
"2944","rplT","PA2741",1.92505140785761,0.000423855862791882
"4762","rplU","PA4568",2.03018226289567,0.000485461738129225
"4759","proB","PA4565",2.43167594409443,0.000489440220397663
"4761","rpmA","PA4567",1.84334797067291,0.000489440220397663
"125","ig_370","ig_370",1.54729671630439,0.000489440220397663
"3102","atvR","PA2899",1.41104351374439,0.00058776139690512
"792","rpsU","PA0579",2.00147118609118,0.000711173693712195
"4758","PA4564","PA4564",1.41729445247067,0.000711173693712195
"3777","PA3575","PA3575",1.16399529921083,0.000711173693712195
"3934","PA3732","PA3732",2.54642767086195,0.000795602477195407
"3920","PA3718","PA3718",2.21165996782095,0.000821757928607477
"3178","rluC","PA2975",1.58855448048194,0.000838425473872445
"21","ig_111","ig_111",2.50414340534236,0.000844323791469103
"5111","pcnA","PA4918",2.72421585859443,0.000865764480751086
"3947","rpsP","PA3745",2.59787373540984,0.000865764480751086
"3931","PA3729","PA3729",1.55705291522132,0.000865764480751086
"3509","PA3306","PA3306",1.84643062516319,0.00089590578588049
"790","dnaG","PA0577",1.92618191859531,0.000919641688745064
"1556","PA1343","PA1343",2.86864921757925,0.00101062649527802
"942","pfiT","PA0729",2.73144380585066,0.00104011750034379
"791","PA0578","PA0578",1.92121228301453,0.00105137467855529
"825","ptrB","PA0612",3.14890428972901,0.00110431590768364
"1134","PA0921","PA0921",2.36175419926115,0.00132155344127373
"3817","PA3615","PA3615",-1.01793140404357,0.00132155344127373
"3921","armR","PA3719",3.19760089868717,0.00137533624786245
"1557","PA1344","PA1344",2.72291327225909,0.00137533624786245
"3043","PA2840","PA2840",2.25670576451893,0.00137533624786245
"3857","tsf","PA3655",1.51911443282299,0.00137533624786245
"337","PA0124","PA0124",1.45167254111581,0.00137533624786245
"5657","PA5465","PA5465",1.07443447121248,0.00137533624786245
"4942","tpiA","PA4748",2.43245276750526,0.00145503675988015
"1244","PA1031","PA1031",2.29966500145998,0.00145503675988015
"2106","PA1894","PA1894",-1.46786716201711,0.00145503675988015
"3209","psrA","PA3006",1.77743993740308,0.00150976069011222
"3171","fabD","PA2968",1.24575723740475,0.00162131971957803
"1513","hxuI","PA1300",1.86644957144677,0.00163761755060346
"5432","rho","PA5239",1.42720539422818,0.00190575113662496
"3819","recA","PA3617",1.86720846496754,0.00205438851476328
"3556","flgZ","PA3353",2.05039126926679,0.00209515874566828
"1504","PA1291","PA1291",1.91437624278031,0.00232659391438912
"4936","truB","PA4742",1.29133956958558,0.00237442342074006
"4939","nusA","PA4745",1.67134709655422,0.0024303421674556
"2951","PA2748","PA2748",1.3026795003255,0.0024303421674556
"826","PA0613","PA0613",1.98477092925581,0.00292512240248488
"1514","hxuR","PA1301",1.42024679607203,0.00292512240248488
"1243","PA1030","PA1030",2.787346372435,0.00321176351686759
"1987","cmpX","PA1775",2.0227241915902,0.00321176351686759
"5045","PA4852","PA4852",1.65485756179596,0.00321176351686759
"1988","sigX","PA1776",1.63218110993592,0.00321176351686759
"1730","PA1518","PA1518",1.26043588881214,0.00321176351686759
"3739","argF","PA3537",1.00699242662153,0.00321176351686759
"1018","PA0805","PA0805",3.6179076258149,0.00338814465606638
"3382","PA3179","PA3179",1.62598538906519,0.00362437548002964
"4613","ftsL","PA4419",1.2712179420127,0.00398638837825452
"3210","lexA","PA3007",2.05953257353689,0.00423713803728784
"3211","sulA","PA3008",1.99193081116981,0.00423713803728784
"926","PA0713","PA0713",-1.75254403844213,0.00423713803728784
"4650","PA4456","PA4456",1.72322420773285,0.00423713803728784
"4868","PA4674","PA4674",1.42667702220941,0.00423713803728784
"336","PA0123","PA0123",1.40570165637112,0.00423713803728784
"2685","PA2481","PA2481",1.33858391831714,0.00423713803728784
"164","ig_524","ig_524",1.59304777370377,0.00426794827487189
"2227","mexX","PA2019",2.12428127322058,0.00471398944795912
"637","mexR","PA0424",1.61911442057052,0.00471398944795912
"4397","bfiS","PA4197",1.49549223393867,0.00471398944795912
"1131","PA0918","PA0918",-1.30577464461875,0.00471398944795912
"2984","PA2781","PA2781",1.15793493009961,0.00471398944795912
"2958","eco","PA2755",1.73680535294578,0.00487691953441463
"338","PA0125","PA0125",1.59255065824643,0.00487691953441463
"3932","PA3730","PA3730",1.39706305220443,0.00503074186427307
"3176","PA2973","PA2973",1.4051151861935,0.00530568392341861
"5134","hflC","PA4941",1.45520314155052,0.00607106173166869
"3314","folC","PA3111",1.12380605854609,0.00623675745154384
"3972","guaB","PA3770",1.56460553219248,0.00632907553588374
"3365","rpsA","PA3162",1.52513340442278,0.00662907324710812
"5112","pncB1","PA4919",1.92168752399188,0.00667062166732183
"4018","cysE","PA3816",1.69270457157747,0.00667062166732183
"1101","aotJ","PA0888",1.69333972613214,0.00672828082278423
"5720","PA5528","PA5528",1.53552971383245,0.00672828082278423
"2108","PA1896","PA1896",-1.17305115256895,0.00683316829817933
"3344","wbpM","PA3141",2.18072727271026,0.00683718647707715
"4675","mreB","PA4481",1.49541517890745,0.00683718647707715
"3103","PA2900","PA2900",1.16215420342093,0.00683718647707715
"3056","oprI","PA2853",-1.06028507835826,0.00683718647707715
"3925","PA3723","PA3723",-1.3890349180026,0.00689942741696749
"4614","PA4420","PA4420",1.63749208209067,0.00700696630637619
"3389","oprB","PA3186",-1.71340834696474,0.00752482895065573
"3099","sbrI","PA2896",1.85130927720291,0.0075389579182481
"3191","lolE","PA2988",1.59618326199425,0.0075389579182481
"1986","crfX","PA1774",1.59292939228858,0.0075389579182481
"672","PA0459","PA0459",-1.13571629403727,0.0075389579182481
"1392","phoP","PA1179",2.49957754942276,0.0078248128789447
"5127","rpsR","PA4934",1.03357425896433,0.00784330220262728
"5046","fis","PA4853",1.16479139888694,0.00808137131484563
"1653","PA1440","PA1440",1.10836934259504,0.00810155940260546
"4938","infB","PA4744",1.46766808143023,0.00827367282308739
"4864","prs","PA4670",1.27785803859657,0.00827367282308739
"3188","PA2985","PA2985",1.0286145440128,0.00827367282308739
"3388","PA3185","PA3185",1.00458480279571,0.00828398599082733
"5508","rpmB","PA5316",1.41808177549231,0.00834234988465129
"3068","PA2865","PA2865",1.15734167618246,0.00870699492725892
"3315","accD","PA3112",1.09977846477382,0.00870699492725892
"4211","PA4010","PA4010",1.59126020121455,0.00920684003899211
"3104","PA2901","PA2901",1.8266378349558,0.00943316058808586
"1851","PA1639","PA1639",1.50431387392213,0.00947812977428803
"4470","nusG","PA4275",1.2259864280901,0.00947812977428803
"4444","rpsH","PA4249",1.15073374333819,0.00999965108879106
"4804","PA4610","PA4610",-1.07662600918136,0.00999965108879106
"1242","PA1029","PA1029",2.53780209883087,0.0101292342844716
"3177","PA2974","PA2974",1.8948820302273,0.0101292342844716
"5619","adhA","PA5427",-1.92436219404393,0.0102070195906048
"3097","PA2894","PA2894",1.15850091320943,0.0102070195906048
"1652","PA1439","PA1439",1.09655070434157,0.0102070195906048
"5715","PA5523","PA5523",1.15494481788874,0.0109666732997655
"3316","trpF","PA3113",1.04682932307752,0.0114910905729808
"3311","purF","PA3108",1.20707472846493,0.0115124597210478
"5109","nrtR","PA4916",1.40203665399302,0.0120140117653817
"789","rpoD","PA0576",1.78186607303044,0.0128177781268186
"4439","rplO","PA4244",1.23907943883198,0.0128177781268186
"4615","PA4421","PA4421",1.67224409766421,0.0129018519295152
"4719","pilA","PA4525",-1.45791618839433,0.0134287019550274
"1010","pmiR","PA0797",1.06006168310962,0.0134540079683927
"3944","rplS","PA3742",2.10671659726473,0.0139430428583164
"4013","hscB","PA3811",1.9265283738065,0.0139430428583164
"117","ig_354","ig_354",1.66993098575657,0.0148961694623752
"5136","PA4943","PA4943",1.68811074173588,0.0148973071428657
"5365","arcB","PA5172",-2.36985234701153,0.0151030515555463
"5135","hflK","PA4942",1.85346195504753,0.0151030515555463
"589","rpoH","PA0376",1.44366890561704,0.0151030515555463
"1377","PA1164","PA1164",1.19545502261194,0.0151030515555463
"4644","murA","PA4450",1.16361083289024,0.0151030515555463
"5128","rpsF","PA4935",1.43622774337916,0.0152340242454225
"2012","tig","PA1800",1.45761087555375,0.0161745356911552
"1744","dnaX","PA1532",1.05954226540926,0.0166846465054094
"4438","secY","PA4243",1.12620234547427,0.0167524347317779
"1958","PA1746","PA1746",-1.92308849547612,0.0167937116135261
"2107","PA1895","PA1895",-1.1486406977484,0.0167937116135261
"3774","PA3572","PA3572",-1.69333735110783,0.0173487572573291
"4627","rplM","PA4433",1.61009375431085,0.0173487572573291
"3310","metZ","PA3107",1.52540430771198,0.0173487572573291
"1454","PA1241","PA1241",1.30345483570308,0.0173487572573291
"4801","PA4607","PA4607",-2.57318116365281,0.0175867997099011
"1396","dctA","PA1183",1.48157445906048,0.0175867997099011
"4011","fdx2","PA3809",1.41036175897997,0.0175867997099011
"730","nirC","PA0517",-1.14718841086639,0.0175867997099011
"4207","nadD1","PA4006",1.06992786363572,0.0175867997099011
"3548","hptB","PA3345",1.03519350632975,0.0175867997099011
"2109","PA1897","PA1897",-1.43318331946743,0.0178569172350897
"3033","htpX","PA2830",2.47861007021619,0.0182491989147412
"3404","PA3201","PA3201",1.01498425140474,0.0184007142749028
"2223","liuA","PA2015",1.47525803609088,0.0185714392013732
"332","PA0119","PA0119",1.32973801543044,0.0185714392013732
"413","PA0200","PA0200",-1.26003649990267,0.0185714392013732
"3465","PA3262","PA3262",1.30272937697635,0.018774124262255
"3313","PA3110","PA3110",1.02360527796195,0.0188753211133515
"5366","arcC","PA5173",-1.76398920910533,0.0190804147028964
"731","nirM","PA0518",-1.53428820660008,0.0190804147028964
"4458","rplC","PA4263",1.49792835297474,0.0192441507902141
"638","mexA","PA0425",1.04842771073265,0.0192441507902141
"1412","PA1199","PA1199",1.44643824023442,0.0193154309219031
"2231","galU","PA2023",1.18834018793278,0.0194703207495999
"5040","accB","PA4847",1.16095503357797,0.0196641154499933
"1767","ccoP2","PA1555",-1.58667505584298,0.0197558071463775
"1853","PA1641","PA1641",1.07061227361681,0.0198887638241818
"4471","secE","PA4276",1.30199014163599,0.0204472703445395
"4469","rplK","PA4274",1.0745074053152,0.0204472703445395
"801","PA0588","PA0588",-1.89119536599198,0.0205555871908154
"3621","ldh","PA3418",-1.65900189488161,0.0206287004921348
"1136","dinB","PA0923",1.65839928926139,0.0206463953420754
"3923","nalC","PA3721",1.10362581142029,0.020822725732875
"5115","azu","PA4922",-1.29549578399677,0.0210004215322153
"5113","nadE","PA4920",1.06815542831999,0.0210004215322153
"5364","arcA","PA5171",-2.34859870322921,0.02118191047018
"3620","PA3417","PA3417",-1.64531404376505,0.0217123248597488
"3371","gyrA","PA3168",1.14215000276945,0.0217123248597488
"3363","wzz","PA3160",1.51752722308303,0.021795973932288
"1254","PA1041","PA1041",-2.21416732532205,0.0237802656681584
"1171","oprD","PA0958",-2.02210279453046,0.0237802656681584
"4468","rplA","PA4273",1.75026781697772,0.0237802656681584
"3858","rpsB","PA3656",1.68115775060249,0.0237802656681584
"5363","arcD","PA5170",-1.57107463948861,0.0237802656681584
"298","hcp1","PA0085",-1.07468180406429,0.0237802656681584
"4940","PA4746","PA4746",1.49538815875404,0.0241930359170312
"4431","katA","PA4236",-1.64713591987344,0.0257042184521474
"4979","PA4785","PA4785",2.04118569646804,0.0258734046047741
"2985","bamI","PA2782",1.13682372705428,0.0266042295967301
"5723","tonB1","PA5531",1.70036638076616,0.0267005615259858
"4457","rplD","PA4262",1.6625031115052,0.0276673991436035
"4805","PA4611","PA4611",-1.55390636385651,0.0276673991436035
"1126","mgtE","PA0913",1.41796619579633,0.0282819800129792
"1512","PA1299","PA1299",1.29520016753752,0.0283766271449421
"333","PA0120","PA0120",1.03292214053557,0.0283766271449421
"3063","PA2860","PA2860",1.26793523436689,0.02854240170343
"3386","zwf","PA3183",1.6700166474174,0.0285809727092425
"5393","amgR","PA5200",1.49818317299657,0.0288894268016737
"3362","wbpA","PA3159",1.34753853380981,0.0300491866770134
"4674","mreC","PA4480",1.25355546952832,0.0300491866770134
"4519","PA4325","PA4325",1.11393122453052,0.0311413335315174
"4443","rplF","PA4248",1.41614422500774,0.0312622052659901
"2845","nuoF","PA2641",-1.02811159207649,0.0336221939732499
"4649","PA4455","PA4455",1.35679047071007,0.0356409454682495
"3312","PA3109","PA3109",1.44986942090902,0.0357139388441842
"3903","peptide chain release factor 2(prfB)","PA3701",1.12906977371204,0.0357139388441842
"4894","mrcB","PA4700",1.03430916184517,0.0363601805005697
"4572","warB","PA4378",1.58032150622514,0.0365067792203261
"2860","bqsS","PA2656",1.39551473276198,0.0367752367868076
"2826","cspD","PA2622",-1.29675526703771,0.0367752367868076
"4626","rpsI","PA4432",1.6344729006616,0.0382283795118335
"4019","PA3817","PA3817",1.35775034120815,0.0382283795118335
"1555","aatJ","PA1342",-1.4892537487896,0.0384853630632335
"4441","rpsE","PA4246",1.54288975456601,0.038950327197436
"5110","nadD2","PA4917",1.46829131561269,0.0393444990605886
"4954","dnaJ","PA4760",1.05667276667162,0.0397455053144418
"799","PA0586","PA0586",-1.43208277072322,0.0412339157237194
"3098","sbrR","PA2895",1.33680731509682,0.0413068673579344
"4657","PA4463","PA4463",-1.09225964919397,0.041731997324433
"4267","oprG","PA4067",-1.1263351485475,0.0419269403321168
"2586","PA2381","PA2381",-1.476980833332,0.0422649623818581
"3065","lipA","PA2862",-1.09725876933447,0.042917051318352
"4463","rpsL","PA4268",1.25032847216823,0.0437625003641104
"1798","sucB","PA1586",-1.09479299674818,0.0437625003641104
"4957","recN","PA4763",1.12716847888492,0.043785662714758
"250","trpI","PA0037",1.15806984691166,0.0439330874981324
"732","nirS","PA0519",-1.58436721854844,0.0441097242660084
"3618","PA3415","PA3415",-1.43822270430654,0.0441097242660084
"4452","rpsC","PA4257",1.0440360557853,0.0441097242660084
"4442","rplR","PA4247",1.61401497450789,0.0460181316765681
"4030","lptF","PA3828",1.1150782572442,0.0460181316765681
"5761","rnpA","PA5569",1.51932938249093,0.0460521285127649
"2631","pvdS","PA2426",1.02508646563089,0.0468830508918358
"3994","leuA","PA3792",-1.30314367138653,0.0473590639902101
"4953","dapB","PA4759",1.36037365002732,0.0483570407763486
"4573","warA","PA4379",1.89473862636531,0.0485668988519961
"4771","PA4577","PA4577",-1.16606575149266,0.0494890414737844
"2484","arsR","PA2277",1.63803861603902,0.0497728449857096
